ENTIDADE RELIGIOSA;CNPJ;LOGRADOURO;NÚMERO;BAIRRO;TELEFONE;EMAILS;VIGÊNCIA DE;VIGÊNCIA ATÉ;DATA DE CADASTRO;OBS
Comunidade Teraupêutica Fonte de Elias Casa Santa Terezinha;33.621.319/0001-07;Rua Domingos Torquato;321;Taiaçupeba;94051-6652;;;;;
Igreja Memorial Chama Viva;35.588.212/0001-16;Rua Dois;200;Conjunto Jeferson - César de Souza;"(11) 93181-2729, (11) 95089-1850 Jeniffer ";jeniferemanuelly36@gmail.com;;;;
Centro Espírita tenda de Umbanda Zé do Coco Cosme Damião;37.588.987/0001-17;Rua Europa;6950;Jardim Santos Dumont II;"(11) 9 6402-7710, (11) 99669-1509";alex04silvaa@hotmail.com;;;07/01/2025;
Assembléia de Deus Ministério Toyama;19.849.211/0001-21;Rua Hum;13;Conjunto Residencial Toyama;"(11) 9 7218-3582 Silmara, (11) 9 5040-8646";gersonmartins2154@gmail.com;01/2022;01/2026;23/01/2025;
Igreja Evangélica Pentecostal Assembléia de Deus Comunhão e Adoração;09.356.9600001-65;Avenida Alexandrina de Paula;772;Vila Nova Cintra;(11) 9 6598-4998;;01/2024;01/2029;;
Igreja Cristã Mundial - ICM;05.220.030/0002-08;Rua Tenente Manoel Alves dos Anjos;222;Centro;"(11) 9 4031-9336, (11) 96396-2186 Meire";nelyaprosa@gmail.com;;;;
Igreja Assembléia de Deus - Filial em Mogi;62.769.500/0001-40 (SEDE);Rua Gastão Costa;474;Mogi Moderno;(11) 96802-1640;neia_melissa@hotmail.com;11/2023;11/2025;;
Igreja Evangélica Assembléia de Deus Nova Esperança;00.647.717/0001-20;Rua Professor Emerson Valente;233;Jardim Esperança;"(11) 99703-9826,(11) 94230-6461 Michele";;11/2025;11/2028;;
Igreja Cristã Renovada;58.503.582/0001-64;Avenida Ricieri Bertaiolli Filho;404;Parque das Varinhas;"(11) 94800-5184, (11) 99624-5859Carmen, (11) 99727-3684 Dirce";icfamiliarenovada@gmail.com;11/2024;11/2027;;Faz o trabalho há 5 anos Projeto Esportes para Adolescentes
Igreja Assmbléia de Deus Ministério Aliança de Fogo;40.217.503/0001-38;Avenida Ricieri Marcatto;1606;Vila Suissa;"(11) 4792-4701, (11) 97489-7004";marcos-martins2011@hotmail.com;;;;
Igreja Evangélica Assembléia de Deus Ministério Ômega;08.753.286/0001-98;Avenida Hozo Sakai;841;Vila Nova Cintra;"(11) 94709-7206,Carlos (11) 93072-9371 Francisco";candidoTUR@outlook.com;02/2023;02/2028;;
Assembléia para Fundação da Igreja Assembléia de Deus Toyama;19.849.211/0001-21;Rua Limderberg;94;Jardim Aeroporo III;"(11) 97218-3582, (11) 97183-8376 Rose";;;;;
Igreja Evangèlica Edificando Vidas Pelo Poder da Palavra;58.503.581/0001-64;Rua José Pereira;2;Jundiapeba;"(11) 94471-4613, (11) 93282-1955 Fernanda";;;;;
Igreja Pentecostal Céu Azul Cristo Vivo;26.736.343/0001-02;Rua Alaor Soares Prata;1;Parque Itapey;(11) 93221-1561 Reginaldo;;;;;
Igreja Pentecostal do Avivamento Mundial;10.316.732/0001-49;Rua Joana Nere Nobrega;75;Residencial Colina;"(11) 99714-6593, (11) 97566-7899 Miquéias";miqueiasmist@gmail.com;;;;
Fraternidade Santo Agostinho;01.433.070/0001-09;Rua José da Silva Barreto;951;Jundiapeba;"(11) 4727-1665, (11) 99268-5419 Maria, (11) 99004-1437 Mercedes";"coordenadoriacasasantoagostinho@gmail.com admsantoagostinho@gmail.com";;;;
Igreja Evangélica Pentecostal o Brasil Para Cristo;48.096.275/0001-05;Rua Professora Lucinda Bastos;2597;Jundiapeba;"(11) 4725-9728, (11) 97251-3352, (11) 99504-9536";admregionalmc@gmail.com;;;;
Igreja Curados Para Curar a Fé que Reconstroí;58.026.662/0001-10;Rua República Dominicana;7A;Jardim Aeroporto I;"(11) 91454-5930, (11) 99702-4781";rafaelvianavianadasilvaviana@gmail.com;;;;
Paróquia Nossa Senhora do Carmo( Provícia Carmelitana Fluminense);44.459.371/0012-64;Rua Doutor Cândido Vieira;620;Centro;"(11) 97977-3880, (11) 99951-2054 Regiane";"pcsemogi@pcse.org.br paroquiadocarmomc@gmail.com";;;;
Igreja Adventista do Sétimo Dia;55.233.019/0034-38;Avenida Nilo Marcato;2118;Jardim São Pedro;(11) 95945-9966;;;;;
Comunidade Missionária Rosa Mística;03.801.013/0001-58;Rodovia Pedro Eroles;KM 42;Tabor;(11) 97569-0916;contato@comunidaderosamistica.com.br;;;;
Igreja Apostólica Cordeiro Leão;36.717.849/0001-28;Estrada Benedito Rodrigues;75;Biritiba Ússu;(11) 94815-5658;"ap.joseeduardo@hotmail.com ap.conceicao1292@gmail.com";;;;
Paróquia Santo Antonio;52.580.453/0001-38;Avenida Brasil;574;Mogi Moderno;(11) 4799-4921;santoantoniomogi@gmail.com;;;;
Igreja Assembléia de Deus;52.578.671/0001-38;Rua Alvaro de Carvalho;217;Itapety;(11) 96404-9597;;;;;
Casa da Família Espírita;25.085.529/0001-86;Rua Joaquina Maria de Jesus;195;Mogilar;(11) 97206-0135;itacel.monica@uol.com.br;;;;
Paróquia São Benedito;52.580.453/0001-38;Rua Maria do Nascimento Boz Vidal;60;Vila Suissa;"(11) 4761-7334, (11) 95074-1958";paroquiasaobeneditovilasuissa@gmail.com;;;;Vinculado a Mitra Diocesana de Mogi das Cruzes
ASAF - Associação de Apoio a Família Plenitude Igreja Plenitude da Fé;11.095.743/0001-09;Rua Presidente João Goulart;75;Caputera;"(11) 94077-8090, (11) 94773-0125";;01/2025;01/2029;;
Assembléia de Deus Brás Guararema Junqueira;01.551.087/0001-58;Travessa Minas Gerais;5;Guanabara;(11) 99809-3426;;;;02/07/2025;
Comunidade Evangélica Pentecostal de Jesus Cristo;06.865.892/0001-70;Rua José Osório do Valle;122;Vila Suissa;(11) 96416-8901;;;;05/08/2025;
Igreja Evangélica Pentecostal Segunda Casa;18.468.549/0001-70;Rua Tabajara;15;Vila Nova União;(11) 98560-1130;;07/2019;07/2029;19/08/2025;
Igreja Visão de Águia Ministério Libertando;24.362.264/0001-53;Rua Professor João Gualberto Mafra Machado;13;Vila Brasileira;"(11) 99590-6035 Isa, (11) 93244-8655Francisco";;;;26/08/2025;
Igreja Assmbléia Ministério Madureira;52.578.671/0001-38;Rua Alberto Alves;288;Vila Jundiaí;"(11) 93387-8881, (11) 99567-4853 Julio";;;;29/08/2025;
Igreja Novo Tempo Comunidade Crsitã;34.821.703/0001-00;Avenida João XXVIII;2729;Jardim São Pedro;(11) 96574-9473;;;;03/09/2025;Faz ação social com destinação de Cestas Básicas, materiais de limpeza e higiene pessoal.
Igreja Assembléia de Deus Ministério Vila Natal;07.556.781/0001-44;Rua Yoshio Honda;66;Vila Oliveira;"(11) 94482-3552, (11) 96379-0668Valquiria";;;;09/09/2025;
Igreja Pentecostal Templo Sala do Trono;67.715.923/0001-87;Avenida Lourenço de Souza Franco;2010;Jundiapeba;(11) 98290-2856;rafa_arteverao@hotmail.com;;;23/09/2025;
Paróquia São Pedro Apóstolo;52.580.453/0001-38;Rua Comendador Koegi Adashi;274;Jardim Santos Dumont I;"(11) 99340-6953, (11) 2610-9753";par.spedroapostolo@gmail.com;;;01/10/2025;
Paróquia São Sebastião;52.580.453/0001-38;Rua Pedro Paulo de Carlos;357;Vila São Sebastião;"(11) 4794-3056, (11) 96490-6420, (11) 2629-0090";lumasecretary@gmail.com;;;01/10/2025;Espaço para cursos - CRESCER , pedindo material( Linhas, tecidos...)
